ProductID,ProductName,Category,SubCategory,Price
P001,College Long,Technology,Phones,1338.04
P002,Wall Performance,Office Supplies,Storage,875.13
P003,Now Age,Furniture,Tables,801.83
P004,Measure Still,Furniture,Bookcases,1269.22
P005,Position Nearly,Technology,Phones,875.74
P006,Go Relate,Office Supplies,Art,383.67
P007,Full Until,Office Supplies,Storage,855.42
P008,Speak Assume,Office Supplies,Writing,446.87
P009,Style Their,Office Supplies,Storage,1118.39
P010,Or Issue,Technology,Computers,897.68
P011,Simply Church,Technology,Computers,1168.68
P012,Against Brother,Office Supplies,Storage,338.67
P013,Business Fill,Furniture,Chairs,1831.39
P014,Baby Fly,Furniture,Bookcases,538.26
P015,Red Around,Technology,Accessories,1109.01
P016,Throughout Consider,Furniture,Chairs,1448.58
P017,Station Ago,Office Supplies,Art,1705.93
P018,Keep Last,Office Supplies,Art,1842.52
P019,College Through,Office Supplies,Art,1533.01
P020,Of Half,Furniture,Bookcases,653.43
P021,Enter Above,Technology,Accessories,877.31
P022,Game Stop,Technology,Phones,562.48
P023,Policy Occur,Furniture,Tables,473.42
P024,Spend Between,Office Supplies,Writing,1611.02
P025,Lose Protect,Office Supplies,Writing,1781.83
P026,Pay See,Technology,Accessories,55.41
P027,Central Street,Technology,Computers,1938.29
P028,Work These,Office Supplies,Storage,1498.37
P029,Foreign Think,Furniture,Bookcases,233.2
P030,Reduce Music,Office Supplies,Storage,1086.65
P031,One Loss,Furniture,Bookcases,1232.93
P032,Offer Lose,Technology,Accessories,1991.85
P033,Language Prevent,Furniture,Tables,1898.75
P034,Politics Include,Office Supplies,Art,1989.62
P035,Color Send,Office Supplies,Writing,1107.72
P036,Order Police,Office Supplies,Writing,1774.29
P037,Bed Eat,Office Supplies,Writing,197.65
P038,Middle Politics,Office Supplies,Writing,63.41
P039,Ahead House,Furniture,Chairs,1273.33
P040,Question Show,Office Supplies,Writing,93.03
P041,Control Model,Office Supplies,Art,1616.6
P042,Town Reach,Office Supplies,Art,623.04
P043,His Ok,Technology,Phones,1021.34
P044,Bring Myself,Office Supplies,Writing,1415.31
P045,Age Trip,Office Supplies,Writing,1537.0
P046,Price Time,Furniture,Chairs,776.57
P047,Indeed Half,Furniture,Bookcases,215.25
P048,In Police,Office Supplies,Storage,894.01
P049,East Help,Furniture,Chairs,1530.76
P050,Yet New,Technology,Accessories,1670.42
P051,Then Race,Technology,Computers,962.77
P052,Record Star,Technology,Phones,1884.99
P053,Us For,Office Supplies,Writing,1971.59
P054,Team Green,Technology,Computers,1493.85
P055,Real Walk,Office Supplies,Storage,1963.29
